codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio,estado_master,lote_origen,archivo_origen
ING-0221,CARNE BUEY DE MAR COCIDO 500G,0.0,19.78,MAKRO,Altamar carne buey de mar cocido congelado 500 g,9.89,500 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X79786/0032/0021/Altamar-Carne-buey-mar-cocido-congelado-%28500-g%29,"Precio con IVA/IGIC incluido. Convertido a €/kg. Carne limpia, merma 0%.",ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0222,CARNE DE NECORA 1K,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0223,CARNE VIEIRA 8-12PIEZAS 800g,0.0,27.4875,MAKRO,Altamar carne vieira congelada 8/12 piezas 800 g,21.99,800 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X79792/0032/0021/Altamar-Carne-vieira-congelada-8-12-piezas-800g,Precio con IVA/IGIC incluido. Convertido a €/kg. Carne limpia.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0224,CAZON,35.0,,PENDIENTE,,,,2026-06-13,,Cazón no localizado con precio oficial claro.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0225,CIGALA CABEZAS Y PINZAS 2K para fumet,0.0,,PENDIENTE,,,,2026-06-13,,"Cabezas y pinzas de cigala para fumet no localizadas; si se compra para fondo, merma operativa 0%.",PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0226,CIGALA Nº 3 21/30 800 GR,55.0,11.95,MAKRO,Altamar cigala congelada n3 21/30 piezas 800 g,9.56,800 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X96741/0032/0021/Altamar-Cigala-congelada-n3-21-30-piezas-800g,Precio con IVA/IGIC incluido. Convertido a €/kg. Merma por cabeza/cáscara.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0227,CIGALA Nº0 8/12 800 GR,55.0,21.9875,MAKRO,Altamar cigala congelada n1 13/16 piezas 800 g,17.59,800 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X79799/0032/0021/Altamar-Cigala-congelada-n113-16-piezas-800g,Precio con IVA/IGIC incluido. Convertido a €/kg. Merma por cabeza/cáscara.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0228,COCOCHA BACALAO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0229,GALERA CONGELADA 1K MAKRO,60.0,16.0,CONSUM,Galeras Lonjas del Mediterráneo,16.0,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente a galera congelada. Precio con IVA. €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0230,GALLINETA FILETE LIMPIO,10.0,16.0,CONSUM,Filete gallineta bandeja,3.2,200 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Precio con IVA. €/kg indicado por tienda. Producto fileteado.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0231,GAMBA GRIEGA ARROCERA 1K,50.0,14.9,CONSUM,Gamba blanca Lonjas del Mediterráneo,14.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente gamba arrocera/blanca. Precio con IVA. €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0232,GAMBA PELADA 30/50 700G,0.0,14.72,CONSUM,Gambas peladas mediana 360 g,5.3,360 g,2026-06-13,https://tienda.consum.es/es/c/congelados/pescados-mariscos/2521,"Precio con IVA. €/kg indicado por tienda. Producto pelado, merma 0%.",ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0233,GAMBON 30/40 2k,50.0,11.105,MAKRO,METRO Chef gambón 31/40 a bordo 2 kg,22.21,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X215095/0032/0021/METRO-Chef-Gambon-31-40-a-bordo-2-kg,Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0234,LANGOSTA cruda entera 300/400 La Roca,65.0,34.05,CONSUM,Bogavante crudo peso aprox. 425 g,14.3,"0,42 kg",2026-06-13,https://tienda.consum.es/es/c/congelados/pescados-mariscos/2521,Equivalente a langosta/bogavante crudo 300/400. Precio con IVA. €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0235,LANGOSTINO 35/42 750G,50.0,11.085,MAKRO,Terranova langostino cocido 2 kg 35/45 uds,22.17,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X173916/0032/0021/Terranova-Langostino-cocido-2Kg-35-45-unidades,Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0236,LENGUADO 400-425 gramos,45.0,15.5,CONSUM,Palaya/Lenguado similar Lonjas del Mediterráneo,15.5,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente aproximado a lenguado 400-425 g.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0237,MARRAJO EN RODAJA 150/300 900 G,10.0,9.5,CONSUM,Tiras de potón,9.5,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=3,Referencia de pescado/cefalópodo en rodaja no exacta; marcar para revisión.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0238,MEJILLON COCIDO 900 gramos,25.0,11.8,CONSUM,MARINES carne de mejillón cocido 250 g,2.95,250 g,2026-06-13,https://tienda.consum.es/es/p/sepia-faraonica-limpia/7289879,Producto equivalente a mejillón cocido/carne. Precio con IVA. €/kg. Merma baja.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0239,"MERLUZA ENTERA s/cabeza +1,8k volanta",45.0,11.95,CONSUM,Merluza entera o mitades,11.95,1 kg,2026-06-13,https://tienda.consum.es/es/p/merluza-entera-o-mitades/7200033,Precio con IVA. €/kg. Merma por cabeza/espina.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0240,"MERLUZA RODAJA 70g/120g 1,8 kg",8.0,11.64,CONSUM,Rodaja de merluza Cabo 360 g,4.19,360 g,2026-06-13,https://tienda.consum.es/es/p/rodaja-de-merluza-cabo/7439441,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0241,NECORA CRUDA 6/8 1K,65.0,8.79,MAKRO,Altamar nécora cruda 6/8 piezas 1 kg aprox.,8.79,1 kg,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X90347/0032/0021/Altamar-N%C3%A9cora-cruda-6-8-piezas-altamar-%281000-g-aprox%29,Precio con IVA/IGIC incluido. €/kg. Merma por caparazón.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0242,PANGA,5.0,6.99,CONSUM,VOSTOQ filete de panga 800 g,5.59,800 g,2026-06-13,https://tienda.consum.es/es/p/filete-panga/7468994,Precio con IVA. €/kg indicado por tienda. Producto congelado; merma baja por escurrido/recorte.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0254,TINTA sepia 50 UN x 4g,0.0,26.9,MAKRO,Nortindal tinta de sepia 4 g x 50 uds,5.38,50 uds x 4 g = 200 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X167585/0032/0021/Nortindal-Tinta-de-sepia-4g-50-unidades,Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote12,actualizacion_precios_lote12_varios_decoracion_otros_con_mermas.csv
ING-0256,VIEIRA CARNE SOLO 10 PZA 800 G miroca,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0257,ANCHOAS GIRASOL 260G makro,0.0,72.55,CONSUM,Filete anchoa Cantábrico aceite girasol MSC tarro 55 g,3.99,55 g,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=3,"Producto equivalente, no formato 260 g. Precio con IVA. €/kg indicado por tienda.",ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0258,BACALAda SALAZON FILETON,10.0,19.9,CONSUM,Filete de bacalao fresco/desalado mostrador,19.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/filete-de-bacalao/7108314,Equivalente a filete/lomo salazón. Precio con IVA. €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0259,BACALAO marinado AHUMADO EN ACEITE mercadona 110 G,0.0,,PENDIENTE,,,,2026-06-13,,Producto específico Mercadona 110 g no verificado en fuente accesible; no actualizo para evitar precio inventado.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0260,BACALAO CALLOS SALMUERA 500G,0.0,,PENDIENTE,,,,2026-06-13,,Callos de bacalao salmuera 500 g no localizados con precio oficial claro.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0261,BACALAO COCOCHAS 400 G,5.0,,PENDIENTE,,,,2026-06-13,,Cocochas de bacalao 400 g no localizadas con precio oficial claro.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0262,BACALAO MIGAS 1k makro,0.0,18.69,CONSUM,Migas de abadejo en salazón 160 g,2.99,160 g,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente de salazón; no es bacalao puro. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0263,BERBERECHOS 120ML,0.0,78.57,CONSUM,Berberechos al natural 45/65 piezas 63 g,4.95,63 g,2026-06-13,https://tienda.consum.es/es/p/berberechos-al-natural-45-65-piezas/7468056,Precio con IVA. €/kg escurrido indicado por tienda.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0264,CAPELLANS 1K,0.0,,PENDIENTE,,,,2026-06-13,,Capellans 1 kg no localizado con precio oficial claro.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0265,CAVIAR ROJO SUCEDANEO 300 G,0.0,61.1,MAKRO,Spherika Gourmet perlas de esturión/sucedáneo 100 g,6.11,100 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X216801/0032/0021/Spherika-Gourmet-perlas-de-esturi%C3%B3n-frasco-100-g,Producto equivalente a sucedáneo de caviar. Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0266,COPOS DE BONITO DESHIDRATADOS,0.0,,PENDIENTE,,,,2026-06-13,,Copos de bonito deshidratados no localizados con precio oficial claro.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0267,HIGADO BACALAO,0.0,,PENDIENTE,,,,2026-06-13,,Hígado de bacalao no localizado con precio oficial claro en las fuentes objetivo.,PENDIENTE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0268,HUEVAS DE LUMPO NEGRO 100G makro,0.0,61.1,MAKRO,Spherika Gourmet perlas/huevas sucedáneo 100 g,6.11,100 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X216801/0032/0021/Spherika-Gourmet-perlas-de-esturi%C3%B3n-frasco-100-g,Equivalente a huevas de lumpo/sucedáneo. Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0269,HUEVAS DE SALMÓN 100G MAKRO,0.0,160.1,MAKRO,Marine Food hueva de salmón salvaje 100 g,16.01,100 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X153601/0032/0021/Marine-Food-hueva-de-salm%C3%B3n-salvaje-100g,Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0270,HUEVAS DE TRUCHA 100G,0.0,119.8,MAKRO,Skandia hueva de trucha 100 g,11.98,100 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X10208/0032/0021/Skandia-hueva-trucha-100g,Precio con IVA/IGIC incluido. Convertido a €/kg.,ACTUALIZABLE,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv
ING-0276,ACEDERA,15.0,,PENDIENTE,,,,2026-06-13,,Acedera no localizada en fuentes objetivo.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0277,ACELGA,15.0,4.5,CONSUM,CONSUM acelgas bolsa 300 g,1.35,300 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma estimada 15% por tallo/fibra.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0278,ACELGA BAY ROJA 400 G,10.0,2.78,CONSUM,CONSUM acelgas hoja miniporción 400 g,1.11,400 g,2026-06-13,https://tienda.consum.es/es/p/acelgas-hoja-miniporcion/7221562,Producto equivalente a acelga baby/hoja. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0279,ACELGA ROJA,15.0,,PENDIENTE,,,,2026-06-13,,Acelga roja no localizada; no sustituyo por acelga verde sin revisión.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0280,ACHICORIA /RADICCIO,18.0,4.42,CONSUM,Endibia bandeja 450 g aprox.,1.99,450 g aprox.,2026-06-13,https://tienda.consum.es/es/g/tabla-para-brunch/RECBRUNCH25,Equivalente a achicoria/endibia/radicchio. Precio con IVA. €/kg indicado por tienda. Revisar si se requiere radicchio rojo.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0281,AJEDREA,10.0,,PENDIENTE,,,,2026-06-13,,Ajedrea no localizada en fuentes objetivo.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0282,AJETE CHINO/cebolla tierna china,15.0,9.3333,MAKRO,Cebolleta china manojo 150 g,1.4,150 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X202723/0032/0021/Cebolleta-china-manojo-150gramos,"Precio con IVA. Convertido a €/kg. Merma estimada por raíces, puntas y hojas deterioradas.",ACTUALIZABLE,lote01,actualizacion_precios_lote1_10_con_mermas.csv
ING-0283,AJO NEGRO,5.0,,PENDIENTE,,,,2026-06-13,,Ajo negro no localizado con precio oficial claro en Makro/Consum/Mercadona.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0284,AJO SECO 1K,8.0,7.4,CONSUM,Ajos secos malla 250 g aprox.,1.85,250 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma estimada por piel y raíz.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0285,AJO TIERNO 200 gramos,5.0,6.63,CONSUM,COCINARTE ajos tiernos 300 g,1.99,300 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/otros-vegetales/5095,Producto equivalente congelado. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0286,ALBAHACA 125G,10.0,77.5,CONSUM,EL DULZE albahaca bandeja 20 g,1.55,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,"Precio con IVA. Convertido desde 7,75 €/100 g a €/kg. Revisar por formato 125 g.",ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0287,ALCACHOFA,55.0,2.9,CONSUM,Alcachofa granel,2.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Precio con IVA. €/kg indicado por tienda. Merma alta por hojas externas y tallo.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0288,ALCACHOFA MORADA,55.0,2.9,CONSUM,Alcachofa granel,2.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Equivalente a alcachofa morada. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0289,ALGA AGAR AGAR EN COPOS,0.0,,PENDIENTE,,,,2026-06-13,,Agar agar en copos: reservar para lote08/12 texturizantes.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0290,ALGA CODIUM,0.0,,PENDIENTE,,,,2026-06-13,,Alga codium no localizada con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0291,ALGA ESPAGUETI DE MAR/ CODIUM,0.0,,PENDIENTE,,,,2026-06-13,,Alga espagueti de mar/codium no localizada con precio oficial claro en fuentes objetivo.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0292,ALGA LECHUGA DE MAR SALAZON,0.0,,PENDIENTE,,,,2026-06-13,,Alga lechuga de mar salazón no localizada con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0293,APIO RAIZ,25.0,,PENDIENTE,,,,2026-06-13,,Apio raíz no localizado; no sustituyo por apio rama.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0294,APIO RAMA 750 g,25.0,2.33,CONSUM,Apio verde manojo 600 g aprox.,1.4,600 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,"Precio con IVA. €/kg indicado por tienda. Merma por hojas duras, base y fibras.",ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0295,BABY LEAF mix ensaladas 300 G,5.0,19.9,CONSUM,FLORETTE ensalada gourmet primeros brotes 100 g,1.99,100 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Equivalente a baby leaf/mix. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0296,BATAVIA,20.0,6.3,CONSUM,Lechuga trocadero 300 g aprox.,1.89,300 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Equivalente lechuga tipo batavia/trocadero. Precio con IVA. €/kg.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0297,BERENJENA,10.0,2.2,CONSUM,Berenjena negra/rayada,2.2,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Precio con IVA. €/kg indicado por tienda. Merma por pedúnculo y recortes.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0298,BERROS 100 G,8.0,,PENDIENTE,,,,2026-06-13,,Berros 100 g no localizados con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0299,BERZA/COL RIZADA,20.0,1.99,CONSUM,Col rizada pieza,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente berza/col rizada. Precio con IVA. €/kg.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0300,BIMI 250G,25.0,4.98,CONSUM,Floretas brócoli bandeja,1.99,400 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a bimi por formato de floreta. Precio con IVA. €/kg. Revisar producto exacto.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0301,BONIATO/ BATATA,10.0,3.75,CONSUM,Boniato rojo,3.75,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por piel y puntas.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0302,BRÓCOLI 400 g,30.0,2.6,CONSUM,Brócoli manojo,2.6,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por tronco.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0303,"BROTES SAKURA MIX 1,6KG makro",5.0,14.3312,MAKRO,"Brote Sakura caja 1,6 kg",22.93,"1,6 kg",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X56814/0032/0021/Brote-sakura-caja-1-6kg,"Precio con IVA/IGIC incluido. Convertido a €/kg. Producto fresco delicado, merma por selección.",ACTUALIZABLE,lote12,actualizacion_precios_lote12_varios_decoracion_otros_con_mermas.csv
ING-0304,BULBO DE HINOJO,15.0,,PENDIENTE,,,,2026-06-13,,Bulbo de hinojo no localizado con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0305,CALABACIN VERDE,8.0,1.85,CONSUM,Calabacín verde,1.85,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0306,CALABAZA CHATA,25.0,1.99,CONSUM,Calabaza entera,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Precio con IVA. €/kg indicado por tienda. Merma por piel y semillas.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0307,CALÇOT 25PZ,30.0,,PENDIENTE,,,,2026-06-13,,Calçot 25 piezas: producto estacional; no localizado con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0308,CANONIGOS 100 G sh levante,5.0,9.6,CONSUM,CONSUM canónigos bolsa 125 g,1.2,125 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0309,CARDO,0.0,9.88,CONSUM,FINDUS cardo 400 g congelado,3.95,400 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/2514?page=2,Producto congelado limpio. Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0310,CEBOLLA,10.0,1.8,CONSUM,Cebolla seca malla,3.6,2 kg aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por piel y raíz.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0311,CEBOLLA CHALOTA PELADA 250G,8.0,2.98,CONSUM,Cebolla francesa malla,1.49,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a chalota/cebolla francesa. Precio con IVA. €/kg.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0312,CEBOLLA MORADA 1K,10.0,2.8,CONSUM,Cebolla morada malla,1.4,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0313,CEBOLLETA TIERNA BLANCA,15.0,4.5,CONSUM,Cebolleta tierna,2.25,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0314,CEBOLLINO 125,10.0,90.0,CONSUM,EL DULZE cebollino bandeja 20 g,1.8,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,"Precio con IVA. Convertido desde 9,00 €/100 g a €/kg.",ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0315,CEBOLLITA GUARNICION,15.0,2.98,CONSUM,Cebolla francesa malla,1.49,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a cebollita de guarnición. Precio con IVA. €/kg.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0316,CHAMPIÑÓN K,5.0,5.79,CONSUM,Champiñón granel,5.79,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0317,CHAMPIÑON PORTOBELLO,5.0,7.96,CONSUM,Champiñón portobello bandeja,1.99,250 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0318,CHILE HABANERO VERDE,10.0,16.9,CONSUM,Pimiento picante bandeja,1.69,100 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Equivalente a chile/habanero. Precio con IVA. €/kg.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0319,CHIRIVIA,15.0,3.39,CONSUM,Chirivía granel,3.39,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=7,Precio con IVA. €/kg indicado por tienda.,ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0320,CHOI SUM ( ACELGA CHINA),15.0,,PENDIENTE,,,,2026-06-13,,Choi sum/acelga china no localizado con precio oficial claro.,PENDIENTE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
ING-0321,CILANTRO 125G,15.0,62.5,CONSUM,EL DULZE cilantro bandeja 20 g,1.25,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,"Precio con IVA. Convertido desde 6,25 €/100 g a €/kg.",ACTUALIZABLE,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv
